idPlayer,kmeans_cluster,archetype,hierarchical_cluster,kda_ratio,headshot_rate,win_rate,entry_aggression,support_score,objective_score
1473,1,Support/Utility Player,3,1.271638655462185,0.3749767959903471,0.5220883534136547,0.09510259098397485,0.04158158529793948,0.09570166242324396
1474,0,Passive/Low Impact,2,0.6587301587301587,0.33333333333333337,0.4482758620689655,0.044871794871794865,0.04716981132075472,0.05128205128205128
1475,2,Balanced Aggressor,1,1.0480769230769231,0.4010526315789473,0.4423076923076923,0.10313901345291479,0.019999999999999997,0.0500747384155456
1478,0,Passive/Low Impact,2,1.0848056537102473,0.2727272727272727,0.21428571428571427,0.08157894736842106,0.02909090909090909,0.031578947368421054
1480,2,Balanced Aggressor,1,1.179936305732484,0.3172628304821151,0.47368421052631576,0.07801418439716312,0.020217729393468123,0.05555555555555556
1481,1,Support/Utility Player,1,1.184265010351967,0.3797595190380762,0.49056603773584906,0.10262172284644194,0.03707414829659319,0.06666666666666667
1482,1,Support/Utility Player,0,1.2968553459119496,0.33814547473625767,0.5555555555555556,0.09065934065934067,0.019988895058300944,0.08333333333333334
1483,2,Balanced Aggressor,1,1.2576036866359448,0.39335520918785893,0.46296296296296297,0.10549229738780977,0.02994257588187039,0.06597454789015404
1485,2,Balanced Aggressor,1,1.0928805237315875,0.397758511313174,0.45714285714285713,0.08076155381544603,0.015648128568407697,0.05711653615845233
1486,1,Support/Utility Player,3,1.1935107376283847,0.38607031597685804,0.5135135135135135,0.08478513356562137,0.040943480195816645,0.08544881367181019
1488,0,Passive/Low Impact,2,1.0255102040816326,0.32142857142857145,0.45,0.05813953488372093,0.020833333333333332,0.06395348837209301
1489,2,Balanced Aggressor,0,1.5058400718778078,0.41272965879265094,0.4098360655737705,0.09017496635262451,0.03805774278215223,0.05047106325706594
1491,0,Passive/Low Impact,2,0.7014388489208633,0.4082840236686391,0.14285714285714285,0.06000000000000001,0.0,0.04666666666666667
1492,1,Support/Utility Player,3,1.0851657940663177,0.3276690062800148,0.4825174825174825,0.07223833377273926,0.027336534909493906,0.0893751647772212
1493,2,Balanced Aggressor,1,1.090316573556797,0.3843023255813954,0.4346153846153846,0.08928309632018766,0.013565891472868217,0.06450667057616186
1497,3,Dominant Fragger,0,1.5850746268656717,0.3446808510638298,0.7272727272727273,0.14534883720930233,0.014893617021276596,0.06589147286821706
1498,1,Support/Utility Player,3,1.275992438563327,0.3389544688026982,0.6666666666666666,0.06166219839142091,0.023608768971332208,0.08176943699731903
1499,1,Support/Utility Player,3,1.410879067508499,0.3891367604267701,0.5614035087719298,0.08799206086668872,0.031037827352085354,0.09262322196493548
1500,1,Support/Utility Player,3,0.9222972972972973,0.4655870445344129,0.4,0.05958549222797928,0.024291497975708502,0.10103626943005181
1501,0,Passive/Low Impact,2,1.0359678182678658,0.33810010214504593,0.3582089552238806,0.07724346838318819,0.01634320735444331,0.048087845513063235
1502,0,Passive/Low Impact,3,0.8960205391527599,0.2883031301482702,0.5263157894736842,0.08634538152610442,0.044481054365733116,0.04116465863453816
1503,3,Dominant Fragger,0,1.481308411214953,0.347787610619469,0.66,0.10366328916601715,0.023893805309734513,0.07716289945440374
1504,2,Balanced Aggressor,1,1.0739267015706806,0.3806905652078293,0.4678111587982833,0.10221217503633134,0.024631625247415877,0.0421443565315679
1505,2,Balanced Aggressor,1,1.02710027100271,0.3022151898734177,0.3939393939393939,0.13859275053304904,0.03639240506329114,0.050106609808102345
1506,2,Balanced Aggressor,0,1.1971383147853736,0.4083769633507854,0.5901639344262295,0.11430317848410758,0.02019446522064323,0.04828850855745721
1508,3,Dominant Fragger,0,1.1575957485798056,0.5151299394802421,0.5241935483870968,0.14846968805179517,0.03203987184051264,0.0272218952324897
1509,2,Balanced Aggressor,1,1.1867816091954022,0.43938442211055273,0.48344370860927155,0.12367149758454107,0.029836683417085424,0.06908212560386474
1510,1,Support/Utility Player,3,1.1364042933810377,0.2908348457350272,0.5258620689655172,0.07422879177377892,0.04083484573502722,0.10379177377892031
1512,2,Balanced Aggressor,1,1.035,0.29878048780487804,0.5454545454545454,0.09701492537313433,0.024390243902439025,0.0373134328358209
1515,0,Passive/Low Impact,2,0.8565217391304346,0.34146341463414637,0.36363636363636365,0.06896551724137931,0.042682926829268296,0.03793103448275862
1516,2,Balanced Aggressor,1,1.2027871215761652,0.37976422112853386,0.45268542199488493,0.10867749419953597,0.009111917676807605,0.043062645011600925
1517,1,Support/Utility Player,3,0.9346153846153846,0.352112676056338,0.6923076923076923,0.0696969696969697,0.01408450704225352,0.06363636363636364
1519,0,Passive/Low Impact,2,0.8907363420427554,0.36474164133738596,0.18181818181818182,0.07312614259597806,0.0182370820668693,0.0603290676416819
